Watching for file changes with StatReloader
HTTP GET /api/v1/sellers/?governorate=%D8%A7%D9%84%D9%85%D9%86%D9%8A%D8%A7&center=%D9%85%D8%B1%D9%83%D8%B2+%D8%A7%D9%84%D9%85%D9%86%D9%8A%D8%A7&trade=carpenter&trade_category=doors 200 [0.34, 127.0.0.1:63474]
HTTP GET /api/v1/products/?governorate=%D8%A7%D9%84%D9%85%D9%86%D9%8A%D8%A7&center=%D9%85%D8%B1%D9%83%D8%B2+%D8%A7%D9%84%D9%85%D9%86%D9%8A%D8%A7&listing_type=sale 200 [0.40, 127.0.0.1:63475]
HTTP GET /api/v1/sellers/locations/ 200 [0.14, 127.0.0.1:63503]
HTTP GET /api/v1/sellers/?governorate=%D8%A7%D9%84%D9%85%D9%86%D9%8A%D8%A7&center=%D9%85%D8%B1%D9%83%D8%B2+%D8%A7%D9%84%D9%85%D9%86%D9%8A%D8%A7&trade=carpenter&trade_category=doors 200 [0.11, 127.0.0.1:63503]
HTTP GET /api/v1/sellers/?governorate=%D8%A7%D9%84%D9%85%D9%86%D9%8A%D8%A7&center=%D9%85%D8%B1%D9%83%D8%B2+%D8%A7%D9%84%D9%85%D9%86%D9%8A%D8%A7&trade=appliances&trade_category=washer 200 [0.05, 127.0.0.1:63503]
HTTP GET /api/v1/sellers/?governorate=%D8%A7%D9%84%D9%85%D9%86%D9%8A%D8%A7&center=%D9%85%D8%B1%D9%83%D8%B2+%D8%A7%D9%84%D9%85%D9%86%D9%8A%D8%A7&trade=appliances&trade_category=washer 200 [0.11, 127.0.0.1:62752]
HTTP GET /api/v1/sellers/locations/ 200 [0.17, 127.0.0.1:62751]
HTTP GET /api/v1/sellers/locations/ 200 [0.05, 127.0.0.1:62848]
HTTP GET /api/v1/sellers/?governorate=%D8%A7%D9%84%D9%85%D9%86%D9%8A%D8%A7&center=%D9%85%D8%B1%D9%83%D8%B2+%D8%A7%D9%84%D9%85%D9%86%D9%8A%D8%A7&trade=carpenter&trade_category=doors 200 [0.04, 127.0.0.1:62848]
HTTP GET /api/v1/sellers/locations/ 200 [0.06, 127.0.0.1:62905]
HTTP GET /api/v1/sellers/?governorate=%D8%A7%D9%84%D9%85%D9%86%D9%8A%D8%A7&center=%D9%85%D8%B1%D9%83%D8%B2+%D8%A7%D9%84%D9%85%D9%86%D9%8A%D8%A7&trade=carpenter&trade_category=doors 200 [0.05, 127.0.0.1:62905]
HTTP GET /api/v1/products/?governorate=%D8%A7%D9%84%D9%85%D9%86%D9%8A%D8%A7&center=%D9%85%D8%B1%D9%83%D8%B2+%D8%A7%D9%84%D9%85%D9%86%D9%8A%D8%A7&listing_type=sale 200 [0.12, 127.0.0.1:62906]
HTTP GET /api/v1/sellers/?governorate=%D8%A7%D9%84%D9%85%D9%86%D9%8A%D8%A7&center=%D9%85%D8%B1%D9%83%D8%B2+%D8%A7%D9%84%D9%85%D9%86%D9%8A%D8%A7&trade=carpenter&trade_category=doors&search= 200 [0.23, 127.0.0.1:62906]
HTTP GET /api/v1/products/?governorate=%D8%A7%D9%84%D9%85%D9%86%D9%8A%D8%A7&center=%D9%85%D8%B1%D9%83%D8%B2+%D8%A7%D9%84%D9%85%D9%86%D9%8A%D8%A7&trade=carpenter&trade_category=doors&listing_type=sale&search= 200 [0.24, 127.0.0.1:62905]
HTTP GET /api/v1/products/?governorate=%D8%A7%D9%84%D9%85%D9%86%D9%8A%D8%A7&center=%D9%85%D8%B1%D9%83%D8%B2+%D8%A7%D9%84%D9%85%D9%86%D9%8A%D8%A7&trade=plumber&trade_category=leaks&listing_type=sale&search= 200 [0.04, 127.0.0.1:62906]
HTTP GET /api/v1/sellers/?governorate=%D8%A7%D9%84%D9%85%D9%86%D9%8A%D8%A7&center=%D9%85%D8%B1%D9%83%D8%B2+%D8%A7%D9%84%D9%85%D9%86%D9%8A%D8%A7&trade=plumber&trade_category=leaks&search= 200 [0.06, 127.0.0.1:62905]
HTTP GET /api/v1/products/?governorate=%D8%A7%D9%84%D9%85%D9%86%D9%8A%D8%A7&center=%D9%85%D8%B1%D9%83%D8%B2+%D8%A7%D9%84%D9%85%D9%86%D9%8A%D8%A7&trade=electrician&trade_category=home-wiring&listing_type=sale&search= 200 [0.10, 127.0.0.1:62906]
HTTP GET /api/v1/sellers/?governorate=%D8%A7%D9%84%D9%85%D9%86%D9%8A%D8%A7&center=%D9%85%D8%B1%D9%83%D8%B2+%D8%A7%D9%84%D9%85%D9%86%D9%8A%D8%A7&trade=electrician&trade_category=home-wiring&search= 200 [0.14, 127.0.0.1:62905]
HTTP GET /api/v1/sellers/?governorate=%D8%A7%D9%84%D9%85%D9%86%D9%8A%D8%A7&center=%D9%85%D8%B1%D9%83%D8%B2+%D8%A7%D9%84%D9%85%D9%86%D9%8A%D8%A7&trade=painter&trade_category=paint&search= 200 [0.06, 127.0.0.1:62905]
